fips_id	precinct_number	precinct	population_total	population_black	population_asian	population_white	population_multiracial	population_other	population_hispanic	housing_units
51710	510	THIRD PRESBYTERIAN	4776	694	111	3244	456	271	503	2039
51710	511	CROSSROADS	5070	1278	167	2845	441	339	577	2242
51710	512	AZALEA GARDENS	2649	554	176	1528	248	143	273	1224
51720	1	EAST WARD	3687	180	27	3242	191	47	81	1934
51730	101	FIRST WARD FIRST PRECINCT	5169	3350	52	1020	306	441	650	2729
51730	201	SECOND WARD FIRST PRECINCT	5421	4155	108	799	203	156	247	2553
51730	301	THIRD WARD FIRST PRECINCT	4972	3323	63	1138	319	129	254	2367
51730	401	FOURTH WARD FIRST PRECINCT	4910	3321	31	1179	221	158	217	3017
51730	501	FIFTH WARD FIRST PRECINCT	4686	3750	39	591	220	86	198	2826
51730	601	SIXTH WARD FIRST PRECINCT	3960	3475	28	210	118	129	149	2186
51730	701	SEVENTH WARD FIRST PRECINCT	4340	3437	18	481	188	216	255	2335
51735	1	CENTRAL	4235	60	63	3738	300	74	173	1796
51735	2	EASTERN	4349	28	80	3909	274	58	155	1640
51735	3	WESTERN	3876	32	121	3412	262	49	135	1490
51760	101	ONE HUNDRED ONE	2820	200	270	2059	212	79	218	294
51760	102	ONE HUNDRED TWO	1693	155	24	1435	57	22	29	756
51760	104	ONE HUNDRED FOUR	2539	33	28	2333	116	29	64	1135
51760	105	ONE HUNDRED FIVE	2430	47	40	2167	144	32	112	1353
51760	106	ONE HUNDRED SIX	2637	33	31	2494	65	14	39	1048
51760	111	ONE HUNDRED ELEVEN	2288	43	33	2039	148	25	114	1111
51760	112	ONE HUNDRED TWELVE	2041	81	65	1720	115	60	108	1026
51760	113	ONE HUNDRED THIRTEEN	2989	136	72	2489	233	59	173	1846
51760	114	ONE HUNDRED FOURTEEN	3496	106	80	3013	226	71	189	2187
51760	204	TWO HUNDRED FOUR	3390	260	70	2745	261	54	184	2027
51760	206	TWO HUNDRED SIX	2228	473	174	1316	207	58	167	1268
51760	207	TWO HUNDRED SEVEN	3247	89	69	2868	178	43	136	1905
51760	208	TWO HUNDRED EIGHT	2797	108	102	2410	143	34	126	1487
51760	213	TWO HUNDRED THIRTEEN	5688	1959	337	2621	523	248	525	2675
51760	301	THREE HUNDRED ONE	2131	1717	10	264	106	34	69	1321
