SUMLEV	GEOCODE	GEOID	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
140	51165010301	1400000US51165010301	Census Tract 103.01	103.01	1908	1651	55	5	25	0	71	101	1908	149	1759	805	755	50
140	51165010302	1400000US51165010302	Census Tract 103.02	103.02	2900	2514	136	13	21	2	51	163	2900	121	2779	1759	1142	617
140	51165010400	1400000US51165010400	Census Tract 104	104	2464	2267	17	11	1	0	85	83	2464	159	2305	1029	949	80
140	51165010500	1400000US51165010500	Census Tract 105	105	3060	2072	57	34	30	0	471	396	3060	934	2126	1191	1141	50
140	51165010600	1400000US51165010600	Census Tract 106	106	3862	3499	52	20	11	1	149	130	3862	270	3592	1489	1419	70
140	51165010700	1400000US51165010700	Census Tract 107	107	3682	3449	17	4	11	0	65	136	3682	130	3552	1496	1413	83
140	51165010801	1400000US51165010801	Census Tract 108.01	108.01	3663	3127	50	19	31	2	195	239	3663	396	3267	1568	1486	82
140	51165010802	1400000US51165010802	Census Tract 108.02	108.02	3238	2824	39	9	16	1	147	202	3238	334	2904	1334	1265	69
140	51165010900	1400000US51165010900	Census Tract 109	109	2584	2367	28	5	11	0	30	143	2584	148	2436	1076	1010	66
140	51165011000	1400000US51165011000	Census Tract 110	110	2948	2797	12	7	9	0	20	103	2948	43	2905	1505	1205	300
140	51165011100	1400000US51165011100	Census Tract 111	111	3180	2972	29	1	9	0	43	126	3180	118	3062	1304	1208	96
140	51165011200	1400000US51165011200	Census Tract 112	112	4772	4479	29	24	4	2	74	160	4772	160	4612	1911	1739	172
140	51165011400	1400000US51165011400	Census Tract 114	114	6094	4736	151	36	93	0	528	550	6094	1089	5005	2256	2157	99
140	51165011500	1400000US51165011500	Census Tract 115	115	6856	5763	424	23	62	4	218	362	6856	463	6393	2343	2223	120
140	51165011600	1400000US51165011600	Census Tract 116	116	2137	1976	11	4	14	0	73	59	2137	111	2026	841	801	40
140	51165011700	1400000US51165011700	Census Tract 117	117	5337	3943	228	33	153	4	552	424	5337	1053	4284	2367	2148	219
140	51165011801	1400000US51165011801	Census Tract 118.01	118.01	3261	2921	26	12	23	0	119	160	3261	261	3000	1291	1209	82
140	51165011802	1400000US51165011802	Census Tract 118.02	118.02	6384	5427	143	13	333	2	105	361	6384	341	6043	2541	2414	127
140	51165011900	1400000US51165011900	Census Tract 119	119	3291	2853	85	0	31	0	108	214	3291	257	3034	1842	1270	572
140	51165012000	1400000US51165012000	Census Tract 120	120	5275	4685	155	10	16	0	138	271	5275	298	4977	2326	2191	135
140	51167030100	1400000US51167030100	Census Tract 301	301	4119	4029	7	7	2	0	6	68	4119	17	4102	2099	1805	294
140	51167030201	1400000US51167030201	Census Tract 302.01	302.01	2091	2034	18	0	0	0	5	34	2091	9	2082	1142	942	200
140	51167030202	1400000US51167030202	Census Tract 302.02	302.02	2722	2590	54	0	2	0	6	70	2722	22	2700	1373	1215	158
140	51167030300	1400000US51167030300	Census Tract 303	303	3518	3365	20	1	6	0	12	114	3518	20	3498	1790	1492	298
140	51167030402	1400000US51167030402	Census Tract 304.02	304.02	2904	2813	20	0	5	0	0	66	2904	8	2896	1318	1174	144
140	51167030403	1400000US51167030403	Census Tract 304.03	304.03	3111	2929	50	5	21	0	11	95	3111	49	3062	1551	1349	202
140	51167030404	1400000US51167030404	Census Tract 304.04	304.04	2213	2153	13	1	4	0	4	38	2213	11	2202	971	902	69
140	51167030500	1400000US51167030500	Census Tract 305	305	1858	1817	11	3	0	1	4	22	1858	10	1848	908	805	103
140	51167030600	1400000US51167030600	Census Tract 306	306	3245	3105	36	2	2	0	20	80	3245	22	3223	1602	1379	223
140	51169030100	1400000US51169030100	Census Tract 301	301	3327	3128	66	8	3	0	16	106	3327	45	3282	1802	1508	294
140	51169030200	1400000US51169030200	Census Tract 302	302	3933	3741	26	5	1	0	1	159	3933	59	3874	1852	1495	357
140	51169030300	1400000US51169030300	Census Tract 303	303	3336	3193	11	4	6	2	14	106	3336	50	3286	2057	1479	578
140	51169030400	1400000US51169030400	Census Tract 304	304	3564	3403	7	7	0	2	16	129	3564	40	3524	2071	1545	526
140	51169030500	1400000US51169030500	Census Tract 305	305	3649	3541	9	1	6	0	7	85	3649	23	3626	2081	1606	475
140	51169030600	1400000US51169030600	Census Tract 306	306	3767	3611	15	6	12	0	9	114	3767	38	3729	1902	1621	281
140	51171040101	1400000US51171040101	Census Tract 401.01	401.01	3365	2880	128	7	23	2	92	233	3365	204	3161	1472	1365	107
140	51171040102	1400000US51171040102	Census Tract 401.02	401.02	6395	5473	246	31	66	2	154	423	6395	382	6013	2763	2602	161
140	51171040201	1400000US51171040201	Census Tract 402.01	402.01	2701	2525	26	9	10	0	18	113	2701	101	2600	2312	1173	1139
140	51171040202	1400000US51171040202	Census Tract 402.02	402.02	3303	3076	26	9	15	0	55	122	3303	88	3215	1552	1333	219
140	51171040300	1400000US51171040300	Census Tract 403	403	3958	3619	49	8	18	0	87	177	3958	186	3772	1725	1583	142
140	51171040400	1400000US51171040400	Census Tract 404	404	2571	2368	8	12	24	0	14	145	2571	67	2504	1443	1060	383
140	51171040501	1400000US51171040501	Census Tract 405.01	405.01	6952	5418	368	36	101	0	495	534	6952	1088	5864	3066	2791	275
140	51171040502	1400000US51171040502	Census Tract 405.02	405.02	2159	1910	14	19	15	1	82	118	2159	162	1997	948	870	78
140	51171040600	1400000US51171040600	Census Tract 406	406	3762	3302	55	16	8	3	153	225	3762	294	3468	1752	1574	178
140	51171040700	1400000US51171040700	Census Tract 407	407	4204	3536	75	37	22	0	275	259	4204	558	3646	1903	1715	188
140	51171040800	1400000US51171040800	Census Tract 408	408	4816	4059	92	14	46	0	290	315	4816	596	4220	2200	1942	258
140	51173030100	1400000US51173030100	Census Tract 301	301	3060	2904	16	3	4	0	36	97	3060	60	3000	1546	1299	247
140	51173030200	1400000US51173030200	Census Tract 302	302	4136	3990	12	0	14	0	17	103	4136	35	4101	2156	1803	353
140	51173030301	1400000US51173030301	Census Tract 303.01	303.01	3082	2909	41	7	21	0	14	90	3082	44	3038	1559	1385	174
140	51173030302	1400000US51173030302	Census Tract 303.02	303.02	3770	3462	69	4	41	1	52	141	3770	120	3650	1909	1698	211
140	51173030400	1400000US51173030400	Census Tract 304	304	1871	1804	0	6	0	0	9	52	1871	19	1852	971	805	166
140	51173030500	1400000US51173030500	Census Tract 305	305	2423	2189	132	5	13	0	8	76	2423	25	2398	1331	960	371
140	51173030600	1400000US51173030600	Census Tract 306	306	2895	2657	79	3	0	0	12	144	2895	75	2820	1570	1320	250
140	51173030701	1400000US51173030701	Census Tract 307.01	307.01	4527	4210	54	8	4	0	62	189	4527	134	4393	2059	1838	221
