SUMLEV	GEOID	GEOCODE	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
050	0500000US51049	51049	Cumberland County	Cumberland	9675	6165	2831	43	38	8	129	461	9675	241	9434	4636	4041	595
050	0500000US51051	51051	Dickenson County	Dickenson	14124	13728	49	23	19	2	13	290	14124	83	14041	7344	6054	1290
050	0500000US51053	51053	Dinwiddie County	Dinwiddie	27947	17516	8177	125	126	3	636	1364	27947	1128	26819	11803	10925	878
050	0500000US51057	51057	Essex County	Essex	10599	5952	3775	83	62	3	176	548	10599	369	10230	5742	4572	1170
050	0500000US51059	51059	Fairfax County	Fairfax	1150309	569013	110889	6500	235050	873	98434	129550	1150309	199234	951075	427149	411055	16094
050	0500000US51061	51061	Fauquier County	Fauquier	72972	56660	5091	312	1229	51	3172	6457	72972	7793	65179	28249	26400	1849
050	0500000US51063	51063	Floyd County	Floyd	15476	14219	244	20	51	0	251	691	15476	487	14989	7924	6639	1285
050	0500000US51065	51065	Fluvanna County	Fluvanna	27249	21023	3730	79	222	7	436	1752	27249	1107	26142	11127	10280	847
050	0500000US51067	51067	Franklin County	Franklin	54477	46702	3921	147	307	27	942	2431	54477	1955	52522	28131	22683	5448
050	0500000US51069	51069	Frederick County	Frederick	91419	73524	3718	315	1681	41	4815	7325	91419	9990	81429	35827	34073	1754
050	0500000US51071	51071	Giles County	Giles	16787	15777	244	34	71	0	64	597	16787	244	16543	8285	7107	1178
050	0500000US51073	51073	Gloucester County	Gloucester	38711	32396	2753	153	318	25	396	2670	38711	1410	37301	17049	15484	1565
050	0500000US51075	51075	Goochland County	Goochland	24727	19302	3267	75	494	3	383	1203	24727	862	23865	10550	9780	770
050	0500000US51077	51077	Grayson County	Grayson	15333	13558	904	32	24	2	247	566	15333	596	14737	8924	6512	2412
050	0500000US51079	51079	Greene County	Greene	20552	16520	1447	33	457	6	694	1395	20552	1330	19222	8464	7760	704
050	0500000US51081	51081	Greensville County	Greensville	11391	4364	6657	30	33	0	49	258	11391	276	11115	4001	3442	559
050	0500000US51083	51083	Halifax County	Halifax	34022	20420	11791	77	218	6	440	1070	34022	760	33262	17275	14698	2577
050	0500000US51085	51085	Hanover County	Hanover	109979	89742	9808	399	2035	33	1708	6254	109979	3938	106041	43184	41417	1767
050	0500000US51087	51087	Henrico County	Henrico	334389	170651	97568	1338	32296	154	11081	21301	334389	22085	312304	140739	134234	6505
050	0500000US51089	51089	Henry County	Henry	50948	35040	11160	165	292	14	1628	2649	50948	3301	47647	25422	22199	3223
050	0500000US51091	51091	Highland County	Highland	2232	2135	2	3	6	1	12	73	2232	35	2197	1787	1063	724
050	0500000US51093	51093	Isle of Wight County	Isle of Wight	38606	26721	8660	166	405	32	468	2154	38606	1199	37407	16441	15268	1173
050	0500000US51095	51095	James City County	James City	78254	57710	10028	275	2269	52	2042	5878	78254	5199	73055	33993	31627	2366
050	0500000US51097	51097	King and Queen County	King and Queen	6608	4490	1571	90	23	3	91	340	6608	182	6426	3454	2884	570
050	0500000US51099	51099	King George County	King George	26723	19121	3983	190	417	15	512	2485	26723	1582	25141	10322	9548	774
050	0500000US51101	51101	King William County	King William	17810	13636	2601	288	129	11	234	911	17810	476	17334	7402	6914	488
050	0500000US51103	51103	Lancaster County	Lancaster	10919	7467	2951	24	77	1	60	339	10919	125	10794	7448	5211	2237
050	0500000US51105	51105	Lee County	Lee	22173	20531	885	71	39	0	81	566	22173	476	21697	10835	9067	1768
050	0500000US51107	51107	Loudoun County	Loudoun	420959	225974	30568	1582	89779	263	28136	44657	420959	59744	361215	142074	137442	4632
050	0500000US51109	51109	Louisa County	Louisa	37596	28813	5408	158	257	18	598	2344	37596	1365	36231	17489	14921	2568
050	0500000US51111	51111	Lunenburg County	Lunenburg	11936	7095	3805	35	26	6	347	622	11936	589	11347	5868	4758	1110
050	0500000US51113	51113	Madison County	Madison	13837	11684	1065	16	90	1	210	771	13837	441	13396	6051	5317	734
050	0500000US51115	51115	Mathews County	Mathews	8533	7295	660	17	52	15	65	429	8533	197	8336	5455	3762	1693
050	0500000US51117	51117	Mecklenburg County	Mecklenburg	30319	18032	10435	75	205	0	495	1077	30319	821	29498	19004	13236	5768
050	0500000US51119	51119	Middlesex County	Middlesex	10625	8411	1523	33	28	3	107	520	10625	259	10366	7100	4751	2349
050	0500000US51121	51121	Montgomery County	Montgomery	99721	79436	4165	207	8347	52	1632	5882	99721	4651	95070	41134	38026	3108
050	0500000US51125	51125	Nelson County	Nelson	14775	12021	1538	56	67	3	365	725	14775	663	14112	9871	6466	3405
